,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
178,LogisticRegression,0.4,0.5,0.6666666666666666,0.5714285714285714,0.0,-0.4082482904638631,0.0,Fold9,8,Project,ProjectA,False,True
179,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold10,8,Project,ProjectA,False,True
180,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold1,9,Project,ProjectA,False,True
181,LogisticRegression,0.2,0.25,0.5,0.3333333333333333,0.33333333333333337,-0.6123724356957946,0.0,Fold2,9,Project,ProjectA,False,True
182,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold3,9,Project,ProjectA,False,True
183,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,0.8333333333333334,0.6123724356957946,1.0,Fold4,9,Project,ProjectA,False,True
184,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold5,9,Project,ProjectA,False,True
185,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold6,9,Project,ProjectA,False,True
186,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold7,9,Project,ProjectA,False,True
187,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold8,9,Project,ProjectA,False,True
188,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.16666666666666666,-0.16666666666666666,0.5,Fold9,9,Project,ProjectA,False,True
189,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold10,9,Project,ProjectA,False,True
190,LogisticRegression,0.6,0.5,0.5,0.5,0.8333333333333334,0.16666666666666666,0.6666666666666666,Fold1,10,Project,ProjectA,False,True
191,LogisticRegression,0.2,0.25,0.5,0.3333333333333333,0.33333333333333337,-0.6123724356957946,0.0,Fold2,10,Project,ProjectA,False,True
192,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,1.0,0.4082482904638631,0.3333333333333333,Fold3,10,Project,ProjectA,False,True
193,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold4,10,Project,ProjectA,False,True
